version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Bao,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Initial baseline on Vilao,Starter baseline before prompt and tool optimization,case_accuracy,,0.70,runs/v0_B_base_vilao_20260729T152614469130.json
v0,Bao,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Initial baseline on Vilao,Starter baseline before prompt and tool optimization,tool_routing_accuracy,,0.85,runs/v0_B_base_vilao_20260729T152614469130.json
v0,Bao,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Initial baseline on Vilao,Starter baseline before prompt and tool optimization,argument_accuracy,,0.70,runs/v0_B_base_vilao_20260729T152614469130.json
v0,Bao,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Initial baseline on Vilao,Starter baseline before prompt and tool optimization,multiturn_accuracy,,0.8333,runs/v0_B_base_vilao_20260729T152614469130.json
v1,Bao,artifacts/system_prompt.md,v1+pa317cc1330d5+t6cdb53d5d7b8,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add explicit clarification and confirmation control flow,Explicit missing-information and side-effect rules improve boundary handling,case_accuracy,0.70,0.80,runs/v1_B_base_vilao_20260729T153916831242.json
v1,Bao,artifacts/system_prompt.md,v1+pa317cc1330d5+t6cdb53d5d7b8,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add explicit clarification and confirmation control flow,Explicit missing-information and side-effect rules improve boundary handling,tool_routing_accuracy,0.85,0.90,runs/v1_B_base_vilao_20260729T153916831242.json
v1,Bao,artifacts/system_prompt.md,v1+pa317cc1330d5+t6cdb53d5d7b8,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add explicit clarification and confirmation control flow,Explicit missing-information and side-effect rules improve boundary handling,argument_accuracy,0.70,0.80,runs/v1_B_base_vilao_20260729T153916831242.json
v1,Bao,artifacts/system_prompt.md,v1+pa317cc1330d5+t6cdb53d5d7b8,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add explicit clarification and confirmation control flow,Explicit missing-information and side-effect rules improve boundary handling,multiturn_accuracy,0.8333,1.0,runs/v1_B_base_vilao_20260729T153916831242.json
v2,Bao,artifacts/tools.yaml,v2+pa317cc1330d5+t3c889a156e7f,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,t3c889a156e7f,Clarify boundaries between web lookup social search and account timeline,Explicit tool declarations improve routing and argument selection,case_accuracy,0.80,0.70,runs/v2_B_base_vilao_20260729T154526104728.json
v2,Bao,artifacts/tools.yaml,v2+pa317cc1330d5+t3c889a156e7f,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,t3c889a156e7f,Clarify boundaries between web lookup social search and account timeline,Explicit tool declarations improve routing and argument selection,tool_routing_accuracy,0.90,0.90,runs/v2_B_base_vilao_20260729T154526104728.json
v2,Bao,artifacts/tools.yaml,v2+pa317cc1330d5+t3c889a156e7f,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,t3c889a156e7f,Clarify boundaries between web lookup social search and account timeline,Explicit tool declarations improve routing and argument selection,argument_accuracy,0.80,0.70,runs/v2_B_base_vilao_20260729T154526104728.json
v2,Bao,artifacts/tools.yaml,v2+pa317cc1330d5+t3c889a156e7f,a317cc1330d526930d5c98ff9e7ca8a3488c425af2c14571cfb52447a81bf9ef,t3c889a156e7f,Clarify boundaries between web lookup social search and account timeline,Explicit tool declarations improve routing and argument selection,multiturn_accuracy,1.0,0.6667,runs/v2_B_base_vilao_20260729T154526104728.json
v3,Bao,artifacts/system_prompt.md,v3+p9907e010c5e1+t3c889a156e7f,p9907e010c5e1,t3c889a156e7f,Add finance-specific routing evidence and safety rules,Finance-specific guidance should improve source handling and preserve clarification behavior,case_accuracy,0.70,0.70,runs/v3_B_base_vilao_20260729T154942264733.json
v3,Bao,artifacts/system_prompt.md,v3+p9907e010c5e1+t3c889a156e7f,p9907e010c5e1,t3c889a156e7f,Add finance-specific routing evidence and safety rules,Finance-specific guidance should improve source handling and preserve clarification behavior,tool_routing_accuracy,0.90,0.90,runs/v3_B_base_vilao_20260729T154942264733.json
v3,Bao,artifacts/system_prompt.md,v3+p9907e010c5e1+t3c889a156e7f,p9907e010c5e1,t3c889a156e7f,Add finance-specific routing evidence and safety rules,Finance-specific guidance should improve source handling and preserve clarification behavior,argument_accuracy,0.70,0.70,runs/v3_B_base_vilao_20260729T154942264733.json
v3,Bao,artifacts/system_prompt.md,v3+p9907e010c5e1+t3c889a156e7f,p9907e010c5e1,t3c889a156e7f,Add finance-specific routing evidence and safety rules,Finance-specific guidance should improve source handling and preserve clarification behavior,multiturn_accuracy,0.6667,0.6667,runs/v3_B_base_vilao_20260729T154942264733.json
v4,Bao,artifacts/tools.yaml+tools/__init__.py,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Register the five finance and publishing tools and test the integrated tool surface,The integrated registry should preserve base routing while enabling the new finance platform tools,case_accuracy,0.70,0.75,runs/v4_B_base_vilao_20260729T162646537145.json
v4,Bao,artifacts/tools.yaml+tools/__init__.py,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Register the five finance and publishing tools and test the integrated tool surface,The integrated registry should preserve base routing while enabling the new finance platform tools,tool_routing_accuracy,0.90,0.95,runs/v4_B_base_vilao_20260729T162646537145.json
v4,Bao,artifacts/tools.yaml+tools/__init__.py,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Register the five finance and publishing tools and test the integrated tool surface,The integrated registry should preserve base routing while enabling the new finance platform tools,argument_accuracy,0.70,0.75,runs/v4_B_base_vilao_20260729T162646537145.json
v4,Bao,artifacts/tools.yaml+tools/__init__.py,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Register the five finance and publishing tools and test the integrated tool surface,The integrated registry should preserve base routing while enabling the new finance platform tools,multiturn_accuracy,0.6667,0.6667,runs/v4_B_base_vilao_20260729T162646537145.json
v4,Bao,data/eval_group.json,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Add 10 team-authored finance evaluation cases,The team suite should expose finance-specific routing, context, and confirmation behavior,case_accuracy,,0.60,runs/v4_B_group_vilao_20260729T163250139791.json
v4,Bao,data/eval_group.json,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Add 10 team-authored finance evaluation cases,The team suite should expose finance-specific routing, context, and confirmation behavior,tool_routing_accuracy,,0.90,runs/v4_B_group_vilao_20260729T163250139791.json
v4,Bao,data/eval_group.json,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Add 10 team-authored finance evaluation cases,The team suite should expose finance-specific routing, context, and confirmation behavior,argument_accuracy,,0.60,runs/v4_B_group_vilao_20260729T163250139791.json
v4,Bao,data/eval_group.json,v4+p9907e010c5e1+tb538d7aee6f7,p9907e010c5e1,b538d7aee6f7,Add 10 team-authored finance evaluation cases,The team suite should expose finance-specific routing, context, and confirmation behavior,multiturn_accuracy,,0.60,runs/v4_B_group_vilao_20260729T163250139791.json
v5,Team,system_prompt.md+tools.yaml+server.py+ui/index.html+chat.py,v5+pb6a9e481129f+tb70d226031b8,b6a9e481129fc2921adcc2e6096ee923bee130a2e0e86821b261a63baf52466f,b70d226031b8bb42d0c29434266e5c6b2e998ae2e24e3b6500cfff16ac3a9bc9,Finalize finance-only scope confirmation flow UI trace and Windows UTF-8 CLI,Pending external writes are persisted and confirmed exactly once; live CLI transcripts render Unicode safely,manual_regression,failed_confirmation_loop,passed,transcripts/v3_vilao_20260729T175159296927.transcript.json
